Bill of Materials,,,,,,,,,,,,,,,,,,,
,,,,,,Total Pieces:,53,,,,,,,,,,,,
,,,,,,Total Cost:,1746.79,,,,,,,,,,,,
Final Part,Category,Name,Link,Quantity,Unit of Measurement,Per Unit Cost CAD,Shipping,True Cost ,Has It been Ordered,How many ordered,,,,,,,,,
Data Logger,Electrical Components,L4931 3.3V Voltage Regulator,L4931 3.3V,1,Piece, $1.00 ,, $1.00 ,,,,,,,,,,,
Data Logger,Electrical Components,MP1584 Buck Converter Breakout,MP1584 Buck Converter Breakout,1,Piece, $7.00 ,, $7.00 ,,,,,,,,,,,
Data Logger,Electrical Components,25W DC-DC Power Module,25W DC-DC power module,1,Piece, $13.00 ,, $13.00 ,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
